sigma_between,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
0.45,Z,25,0.261266,0.917112,0.857627,1.085304
0.45,A,25,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,25,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,25,0.747551,1.027827,0.857627,1.085304
0.45,D,25,1.000000,1.085304,0.857627,1.085304
0.45,Z,26,0.747551,1.027827,0.857627,1.085304
0.45,A,26,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,26,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,26,0.747551,1.027827,0.857627,1.085304
0.45,D,26,1.000000,1.085304,0.857627,1.085304
0.45,Z,27,0.000000,0.731396,0.857627,1.085304
0.45,A,27,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,27,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,27,0.747551,1.027827,0.857627,1.085304
0.45,D,27,1.000000,1.085304,0.857627,1.085304
0.45,Z,28,0.185376,0.899833,0.857627,1.085304
0.45,A,28,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,28,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,28,0.747551,1.027827,0.857627,1.085304
0.45,D,28,1.000000,1.085304,0.857627,1.085304
0.45,Z,29,0.000000,0.724259,0.857627,1.085304
0.45,A,29,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,29,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,29,0.747551,1.027827,0.857627,1.085304
0.45,D,29,1.000000,1.085304,0.857627,1.085304
0.60,Z,0,0.248847,0.906135,0.849282,1.077749
0.60,A,0,0.744965,1.019482,0.849282,1.077749
0.60,C_CN,0,0.744965,1.019482,0.849282,1.077749
0.60,C_PP,0,0.744965,1.019482,0.849282,1.077749
0.60,D,0,1.000000,1.077749,0.849282,1.077749
0.60,Z,1,0.744965,1.019482,0.849282,1.077749
0.60,A,1,0.744965,1.019482,0.849282,1.077749
0.60,C_CN,1,0.744965,1.019482,0.849282,1.077749
0.60,C_PP,1,0.744965,1.019482,0.849282,1.077749
0.60,D,1,1.000000,1.077749,0.849282,1.077749
0.60,Z,2,0.218593,0.899223,0.849282,1.077749
0.60,A,2,0.744965,1.019482,0.849282,1.077749
0.60,C_CN,2,0.744965,1.019482,0.849282,1.077749
0.60,C_PP,2,0.744965,1.019482,0.849282,1.077749
0.60,D,2,1.000000,1.077749,0.849282,1.077749
0.60,Z,3,0.744965,1.019482,0.849282,1.077749
0.60,A,3,0.744965,1.019482,0.849282,1.077749
0.60,C_CN,3,0.744965,1.019482,0.849282,1.077749
