K,slate_type,spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
5,archetype,centrist,Z,63,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,A,63,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,63,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,63,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,63,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,64,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,A,64,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,64,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,64,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,64,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,65,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,A,65,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,65,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,65,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,65,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,66,0.000000,0.688188,0.829481,1.057498
5,archetype,centrist,A,66,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,66,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,66,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,66,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,67,0.000000,0.688188,0.829481,1.057498
5,archetype,centrist,A,67,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,67,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,67,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,67,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,68,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,A,68,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,68,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,68,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,68,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,69,0.000000,0.688188,0.829481,1.057498
5,archetype,centrist,A,69,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,69,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,69,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,69,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,70,0.000000,0.688188,0.829481,1.057498
5,archetype,centrist,A,70,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,70,0.746434,0.999681,0.829481,1.057498
