dist_id,dist_label,spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,minority_welfare
P1,unimodal,centrist,C_CN,37,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,37,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,37,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,38,0.000000,0.687678,0.832914,1.058737,0.363114
P1,unimodal,centrist,A,38,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,38,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,38,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,38,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,39,0.000000,0.807886,0.832914,1.058737,0.570349
P1,unimodal,centrist,A,39,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,39,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,39,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,39,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,40,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,A,40,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,40,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,40,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,40,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,41,0.289687,0.898332,0.832914,1.058737,0.692773
P1,unimodal,centrist,A,41,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,41,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,41,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,41,1.000000,1.058737,0.832914,1.058737,0.858528
