spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,n_attacked_bundles
centrist,C_CN_ADV,44,0.278253,0.892928,0.829481,1.057498,5
centrist,C_PP,44,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,44,0.227848,0.881434,0.829481,1.057498,5
centrist,D,44,1.000000,1.057498,0.829481,1.057498,5
centrist,Z,45,0.000000,0.711174,0.829481,1.057498,4
centrist,A,45,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,45,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,45,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,45,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,45,0.227848,0.881434,0.829481,1.057498,4
centrist,D,45,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,46,0.000000,0.711174,0.829481,1.057498,5
centrist,A,46,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,46,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,46,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP,46,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,46,0.227848,0.881434,0.829481,1.057498,5
centrist,D,46,1.000000,1.057498,0.829481,1.057498,5
centrist,Z,47,0.278253,0.892928,0.829481,1.057498,5
centrist,A,47,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,47,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,47,0.278253,0.892928,0.829481,1.057498,5
centrist,C_PP,47,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,47,0.227848,0.881434,0.829481,1.057498,5
centrist,D,47,1.000000,1.057498,0.829481,1.057498,5
centrist,Z,48,0.000000,0.711174,0.829481,1.057498,4
centrist,A,48,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,48,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,48,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,48,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,48,0.278253,0.892928,0.829481,1.057498,4
centrist,D,48,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,49,0.254934,0.887610,0.829481,1.057498,5
centrist,A,49,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,49,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,49,0.278253,0.892928,0.829481,1.057498,5
centrist,C_PP,49,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,49,0.227848,0.881434,0.829481,1.057498,5
centrist,D,49,1.000000,1.057498,0.829481,1.057498,5
off_axis,Z,0,0.404586,0.892928,0.829481,0.986300,4
off_axis,A,0,0.404586,0.892928,0.829481,0.986300,4
off_axis,C_CN,0,0.766490,0.949681,0.829481,0.986300,4
off_axis,C_CN_ADV,0,0.234054,0.866185,0.829481,0.986300,4
off_axis,C_PP,0,0.766490,0.949681,0.829481,0.986300,4
off_axis,C_PP_ADV,0,0.331296,0.881434,0.829481,0.986300,4
off_axis,D,0,1.000000,0.986300,0.829481,0.986300,4
off_axis,Z,1,0.404586,0.892928,0.829481,0.986300,4
off_axis,A,1,0.404586,0.892928,0.829481,0.986300,4
off_axis,C_CN,1,0.766490,0.949681,0.829481,0.986300,4
off_axis,C_CN_ADV,1,0.179983,0.857706,0.829481,0.986300,4
off_axis,C_PP,1,0.766490,0.949681,0.829481,0.986300,4
off_axis,C_PP_ADV,1,0.179983,0.857706,0.829481,0.986300,4
off_axis,D,1,1.000000,0.986300,0.829481,0.986300,4
off_axis,Z,2,0.000000,0.781298,0.829481,0.986300,4
off_axis,A,2,0.404586,0.892928,0.829481,0.986300,4
off_axis,C_CN,2,0.766490,0.949681,0.829481,0.986300,4
off_axis,C_CN_ADV,2,0.404586,0.892928,0.829481,0.986300,4
off_axis,C_PP,2,0.766490,0.949681,0.829481,0.986300,4
off_axis,C_PP_ADV,2,0.000000,0.829221,0.829481,0.986300,4
off_axis,D,2,1.000000,0.986300,0.829481,0.986300,4
off_axis,Z,3,0.108396,0.846480,0.829481,0.986300,5
off_axis,A,3,0.404586,0.892928,0.829481,0.986300,5
off_axis,C_CN,3,0.766490,0.949681,0.829481,0.986300,5
off_axis,C_CN_ADV,3,0.404586,0.892928,0.829481,0.986300,5
off_axis,C_PP,3,0.766490,0.949681,0.829481,0.986300,5
off_axis,C_PP_ADV,3,0.331296,0.881434,0.829481,0.986300,5
off_axis,D,3,1.000000,0.986300,0.829481,0.986300,5
off_axis,Z,4,0.404586,0.892928,0.829481,0.986300,3
off_axis,A,4,0.404586,0.892928,0.829481,0.986300,3
off_axis,C_CN,4,0.766490,0.949681,0.829481,0.986300,3
off_axis,C_CN_ADV,4,0.404586,0.892928,0.829481,0.986300,3
off_axis,C_PP,4,0.766490,0.949681,0.829481,0.986300,3
off_axis,C_PP_ADV,4,0.331296,0.881434,0.829481,0.986300,3
off_axis,D,4,1.000000,0.986300,0.829481,0.986300,3
off_axis,Z,5,0.000000,0.764136,0.829481,0.986300,4
off_axis,A,5,0.404586,0.892928,0.829481,0.986300,4
off_axis,C_CN,5,0.766490,0.949681,0.829481,0.986300,4
off_axis,C_CN_ADV,5,0.404586,0.892928,0.829481,0.986300,4
off_axis,C_PP,5,0.766490,0.949681,0.829481,0.986300,4
off_axis,C_PP_ADV,5,0.331296,0.881434,0.829481,0.986300,4
off_axis,D,5,1.000000,0.986300,0.829481,0.986300,4
off_axis,Z,6,0.000000,0.711174,0.829481,0.986300,4
off_axis,A,6,0.404586,0.892928,0.829481,0.986300,4
off_axis,C_CN,6,0.766490,0.949681,0.829481,0.986300,4
off_axis,C_CN_ADV,6,0.404586,0.892928,0.829481,0.986300,4
off_axis,C_PP,6,0.766490,0.949681,0.829481,0.986300,4
off_axis,C_PP_ADV,6,0.404586,0.892928,0.829481,0.986300,4
off_axis,D,6,1.000000,0.986300,0.829481,0.986300,4
off_axis,Z,7,0.331296,0.881434,0.829481,0.986300,4
off_axis,A,7,0.404586,0.892928,0.829481,0.986300,4
off_axis,C_CN,7,0.766490,0.949681,0.829481,0.986300,4
off_axis,C_CN_ADV,7,0.404586,0.892928,0.829481,0.986300,4
off_axis,C_PP,7,0.766490,0.949681,0.829481,0.986300,4
