date,ticker,open,high,low,close
2025-01-31,MA,559.6215,561.3286,550.5098,551.2939
2025-01-31,MCD,279.7532,281.1239,277.3595,278.6625
2025-01-31,META,688.2386,702.4815,682.8403,686.4259
2025-01-31,MRK,94.8072,95.7256,94.3097,94.5393
2025-01-31,MSFT,414.0679,415.7579,410.0456,410.1939
2025-01-31,NFLX,97.4,99.029,97.4,97.676
2025-01-31,NVDA,123.5954,127.6593,119.0123,119.8909
2025-01-31,PEP,142.1872,143.0644,141.7251,142.1212
2025-01-31,PFE,24.7273,24.7732,24.2321,24.3238
2025-01-31,PG,160.3587,160.9576,159.5955,160.349
2025-01-31,SPY,598.8135,601.2383,592.4557,593.2147
2025-01-31,TSLA,401.53,419.99,401.34,404.6
2025-01-31,UNH,526.0934,531.8265,524.3211,525.3671
2025-01-31,V,342.6083,347.335,337.9014,337.9904
2025-01-31,WMT,97.6741,97.6741,96.3915,96.8454
2025-01-31,XOM,105.2161,105.2161,100.9808,101.6756
2025-02-03,AAPL,228.5299,230.3583,224.2672,226.5625
2025-02-03,AMD,113.88,115.16,112.98,114.27
2025-02-03,AMZN,234.06,239.25,232.9,237.42
2025-02-03,BAC,43.9141,44.939,43.6144,44.678
2025-02-03,COST,964.6228,1001.5455,961.2004,997.7957
2025-02-03,CSCO,58.4455,59.4845,57.8241,59.2709
2025-02-03,CVX,139.7394,141.4838,138.614,140.0583
2025-02-03,DIS,110.132,113.3465,109.6474,112.753
2025-02-03,GOOGL,199.6472,202.6913,199.0603,200.1844
2025-02-03,GS,607.5905,619.7035,604.174,613.7732
2025-02-03,HD,390.6793,396.2396,385.7636,393.219
2025-02-03,INTC,18.97,19.75,18.78,19.38
2025-02-03,JNJ,145.8666,146.3176,144.6958,145.7418
2025-02-03,JPM,255.2628,261.4438,255.1361,260.1179
2025-02-03,KO,60.9503,61.3844,60.2268,61.1143
2025-02-03,MA,548.5248,560.7928,546.9665,559.7506
2025-02-03,MCD,277.0409,280.786,274.3093,279.9655
2025-02-03,META,673.209,701.1868,672.5516,694.6729
2025-02-03,MRK,93.8792,95.8117,93.7548,95.4673
