condition,persona_config,adversarial,seed,winner,alliance_win,turns,vp_p1,vp_p2,vp_p3,vp_p4
c,sym_aggressive,True,5,P3,False,59,5,3,7,5
c,sym_aggressive,True,6,P1,True,45,7,2,5,5
c,sym_aggressive,True,7,P4,False,68,3,5,3,7
c,sym_aggressive,True,8,P3,False,47,3,4,7,2
c,sym_aggressive,True,9,P3,False,67,5,2,7,5
c,sym_aggressive,True,10,P4,False,48,4,5,2,7
c,sym_aggressive,True,11,P2,True,70,6,7,5,6
c,sym_aggressive,True,12,P1,True,85,7,3,4,3
c,sym_aggressive,True,13,P1,True,45,7,2,3,5
c,sym_aggressive,True,14,P4,False,48,3,3,2,7
c,sym_aggressive,True,15,P4,False,60,5,4,5,7
c,sym_aggressive,True,16,P3,False,55,5,3,7,4
c,sym_aggressive,True,17,P4,False,60,4,3,4,7
c,sym_aggressive,True,18,P3,False,51,3,3,7,5
c,sym_aggressive,True,19,P3,False,83,3,6,8,5
c,sym_aggressive,True,20,P3,False,51,5,3,7,4
c,sym_aggressive,True,21,P3,False,55,4,4,7,4
c,sym_aggressive,True,22,P4,False,72,6,5,5,7
c,sym_aggressive,True,23,P3,False,51,4,3,7,5
c,sym_aggressive,True,24,P1,True,53,7,3,4,3
c,sym_aggressive,True,25,P1,True,61,7,2,6,5
c,sym_aggressive,True,26,P4,False,56,3,4,3,7
c,sym_aggressive,True,27,P1,True,49,7,3,3,3
c,sym_aggressive,True,28,P1,True,45,7,4,4,5
c,sym_aggressive,True,29,P1,True,57,8,3,6,4
c,sym_conservative,True,0,P3,False,63,5,3,7,5
c,sym_conservative,True,1,P1,True,41,7,3,5,2
c,sym_conservative,True,2,P1,True,25,7,2,3,4
c,sym_conservative,True,3,P1,True,29,7,2,3,5
